time,voltage,current
0,2.4340,0.0009
100,2.4340,0.0008
200,2.4340,0.0009
300,2.4340,0.0008
400,2.4389,0.0009
500,2.4340,0.0009
600,2.4389,0.0009
700,2.4389,0.0009
800,2.4389,0.0009
900,2.4389,0.0009
1000,2.4389,0.0009
1100,2.4438,0.0009
1200,2.4487,0.0009
1300,2.4487,0.0009
1400,2.4487,0.0009
1500,2.4487,0.0009
1600,2.4487,0.0009
1700,2.4487,0.0009
1800,2.4487,0.0009
1900,2.4536,0.0010
2000,2.4536,0.0010
2100,2.4536,0.0010
2200,2.4536,0.0010
2300,2.4536,0.0010
2400,2.4536,0.0010
2500,2.4536,0.0010
2600,2.4536,0.0010
2700,2.4536,0.0009
2800,2.4536,0.0010
2900,2.4536,0.0010
3000,2.4536,0.0010
3100,2.4536,0.0010
3200,2.4536,0.0010
3300,2.4536,0.0010
3400,2.4536,0.0010
3500,2.4536,0.0010
3600,2.4536,0.0010
3700,2.4536,0.0010
3800,2.4536,0.0010
3900,2.4536,0.0010
4000,2.4536,0.0010
4100,2.4536,0.0010
4200,2.4536,0.0010
4300,2.4536,0.0010
4400,2.4536,0.0010
4500,2.4536,0.0010
4600,2.4536,0.0010
4700,2.4536,0.0010
4800,2.4536,0.0010
4900,2.4536,0.0010
5000,2.4536,0.0010
5100,2.4536,0.0010
5200,2.4536,0.0010
5300,2.4536,0.0010
5400,2.4536,0.0010
5500,2.4536,0.0010
5600,2.4536,0.0010
5700,2.4536,0.0010
5800,2.4536,0.0010
5900,2.4536,0.0010
6000,2.4536,0.0010
6100,2.4536,0.0010
6200,2.4536,0.0010
6300,2.4536,0.0010
6400,2.4536,0.0010
6500,2.4585,0.0010
6600,2.4585,0.0010
6700,2.4585,0.0010
6800,2.4585,0.0010
6900,2.4585,0.0010
7000,2.4585,0.0010
7100,2.4585,0.0010
7200,2.4585,0.0010
7300,2.4585,0.0010
7400,2.4585,0.0010
7500,2.4585,0.0010
7600,2.4585,0.0010
7700,2.4585,0.0010
7800,2.4633,0.0010
7900,2.4633,0.0010
8000,2.4633,0.0010
8100,2.4633,0.0010
8200,2.4633,0.0011
8300,2.4633,0.0011
8400,2.4682,0.0010
8500,2.4682,0.0010
8600,2.4633,0.0010
8700,2.4633,0.0010
8800,2.4633,0.0010
8900,2.4633,0.0010
9000,2.4682,0.0010
9100,2.4682,0.0011
9200,2.4731,0.0011
9300,2.4780,0.0011
9400,2.4780,0.0011
9500,2.4780,0.0011
9600,2.4780,0.0011
9700,2.4780,0.0011
9800,2.4829,0.0011
9900,2.4780,0.0011
10000,2.4829,0.0011
10100,2.4829,0.0011
10200,2.4829,0.0011
10300,2.4780,0.0011
10400,2.4829,0.0011
10500,2.4829,0.0011
10600,2.4780,0.0011
10700,2.4780,0.0011
10800,2.4780,0.0011
10900,2.4829,0.0011
11000,2.4829,0.0011
11100,2.4829,0.0011
11200,2.4829,0.0011
11300,2.4829,0.0011
11400,2.4878,0.0011
11500,2.4878,0.0011
11600,2.4829,0.0011
11700,2.4829,0.0011
11800,2.4829,0.0013
11900,2.4829,0.0011
12000,2.4829,0.0011
12100,2.4829,0.0011
12200,2.4829,0.0011
12300,2.4829,0.0011
12400,2.4878,0.0011
12500,2.4878,0.0011
12600,2.4878,0.0013
12700,2.4878,0.0013
12800,2.4927,0.0013
12900,2.4927,0.0013
13000,2.4927,0.0013
13100,2.4927,0.0013
13200,2.4976,0.0013
13300,2.4976,0.0013
13400,2.4976,0.0013
13500,2.5024,0.0013
13600,2.5024,0.0014
13700,2.5073,0.0014
13800,2.5073,0.0014
13900,2.5073,0.0014
14000,2.5122,0.0014
14100,2.5122,0.0014
14200,2.5122,0.0014
14300,2.5122,0.0014
14400,2.5122,0.0014
14500,2.5122,0.0014
14600,2.5171,0.0014
14700,2.5122,0.0014
14800,2.5122,0.0014
14900,2.5122,0.0014
15000,2.5171,0.0014
15100,2.5171,0.0014
15200,2.5122,0.0014
15300,2.5122,0.0014
15400,2.5122,0.0014
15500,2.5122,0.0014
15600,2.5171,0.0014
15700,2.5171,0.0014
15800,2.5122,0.0014
15900,2.5171,0.0014
16000,2.5171,0.0014
16100,2.5171,0.0014
16200,2.5122,0.0014
16300,2.5171,0.0014
16400,2.5171,0.0014
16500,2.5171,0.0014
16600,2.5171,0.0014
16700,2.5171,0.0014
16800,2.5171,0.0014
16900,2.5171,0.0014
17000,2.5171,0.0014
17100,2.5171,0.0014
17200,2.5171,0.0014
17300,2.5171,0.0015
17400,2.5171,0.0014
17500,2.5220,0.0014
17600,2.5220,0.0014
17700,2.5220,0.0014
17800,2.5171,0.0014
17900,2.5220,0.0014
18000,2.5220,0.0014
18100,2.5220,0.0014
18200,2.5220,0.0015
18300,2.5220,0.0015
18400,2.5269,0.0015
18500,2.5269,0.0015
18600,2.5269,0.0015
18700,2.5269,0.0015
18800,2.5269,0.0015
18900,2.5367,0.0015
19000,2.5367,0.0016
19100,2.5367,0.0016
19200,2.5415,0.0016
19300,2.5464,0.0016
19400,2.5464,0.0016
19500,2.5562,0.0018
19600,2.5562,0.0018
19700,2.5562,0.0018
19900,2.5562,0.0018
20000,2.5562,0.0018
20100,2.5562,0.0018
20200,2.5611,0.0018
20300,2.5611,0.0018
20400,2.5611,0.0018
20500,2.5611,0.0018
20600,2.5611,0.0018
20700,2.5611,0.0018
20800,2.5611,0.0018
20900,2.5611,0.0018
21000,2.5611,0.0018
21100,2.5611,0.0018
21200,2.5611,0.0018
21300,2.5611,0.0018
21400,2.5611,0.0018
21500,2.5611,0.0018
21600,2.5611,0.0018
21700,2.5611,0.0018
21800,2.5611,0.0018
21900,2.5611,0.0018
22000,2.5611,0.0018
22100,2.5611,0.0018
22200,2.5611,0.0018
22300,2.5611,0.0018
22400,2.5611,0.0018
22500,2.5660,0.0018
22600,2.5611,0.0018
22700,2.5660,0.0018
22800,2.5709,0.0019
22900,2.5806,0.0019
23000,2.5806,0.0019
23100,2.5855,0.0020
23200,2.5855,0.0020
23300,2.5855,0.0020
23400,2.5855,0.0020
23500,2.5855,0.0020
23600,2.5855,0.0020
23700,2.5855,0.0020
23800,2.5855,0.0019
23900,2.5855,0.0019
24000,2.5855,0.0019
24100,2.5855,0.0020
24200,2.5855,0.0020
24300,2.5855,0.0020
24400,2.5855,0.0020
24500,2.5855,0.0020
24600,2.5855,0.0020
24700,2.5855,0.0020
24800,2.5855,0.0019
24900,2.5855,0.0020
25000,2.5855,0.0020
25100,2.5855,0.0020
25200,2.5855,0.0020
25300,2.5855,0.0020
25400,2.5855,0.0019
25500,2.5855,0.0019
25600,2.5855,0.0020
25700,2.5855,0.0019
25800,2.5855,0.0020
25900,2.5855,0.0020
26000,2.5855,0.0020
26100,2.5904,0.0020
26200,2.5904,0.0020
26300,2.5855,0.0020
26400,2.6002,0.0020
26500,2.5758,0.0018
26600,2.5953,0.0020
26700,2.6002,0.0020
26800,2.6002,0.0021
26900,2.6002,0.0020
27000,2.6002,0.0021
27100,2.6002,0.0021
27200,2.6002,0.0021
27300,2.6002,0.0021
27400,2.6002,0.0021
27500,2.6002,0.0020
27600,2.5953,0.0020
27700,2.6002,0.0021
27800,2.5953,0.0020
27900,2.5709,0.0018
28000,2.5904,0.0019
28100,2.5611,0.0018
28200,2.5904,0.0020
28300,2.5953,0.0020
28400,2.6002,0.0020
28500,2.5953,0.0020
28600,2.5904,0.0020
28700,2.5953,0.0020
28800,2.5953,0.0020
28900,2.5953,0.0020
29000,2.5953,0.0020
29100,2.5953,0.0020
29200,2.5953,0.0020
29300,2.5953,0.0020
29400,2.5953,0.0020
29500,2.5953,0.0020
29600,2.5953,0.0020
29700,2.5953,0.0020
29800,2.5953,0.0020
29900,2.5953,0.0020
30000,2.5953,0.0020
30100,2.5953,0.0020
30200,2.5953,0.0020
30300,2.5953,0.0020
30400,2.5953,0.0020
30500,2.5806,0.0019
30600,2.5904,0.0020
30700,2.5904,0.0020
30800,2.5904,0.0020
30900,2.6002,0.0021
31000,2.6051,0.0021
31100,2.6051,0.0021
31200,2.6051,0.0021
31300,2.6100,0.0021
31400,2.6100,0.0021
31500,2.6100,0.0021
31600,2.6100,0.0021
31700,2.5904,0.0020
31800,2.5953,0.0020
31900,2.5953,0.0020
32000,2.6051,0.0021
32100,2.5953,0.0020
32200,2.6002,0.0020
32300,2.6051,0.0021
32400,2.6051,0.0021
32500,2.6051,0.0021
32600,2.6051,0.0021
32700,2.6051,0.0021
32800,2.5904,0.0020
32900,2.6002,0.0020
33000,2.6002,0.0020
33100,2.5953,0.0020
33200,2.6002,0.0020
33300,2.5953,0.0020
33400,2.6002,0.0021
33500,2.6002,0.0021
33600,2.6002,0.0021
33700,2.6100,0.0021
33800,2.6002,0.0021
33900,2.6051,0.0021
34000,2.6051,0.0021
34100,2.6002,0.0021
34200,2.6051,0.0021
34300,2.6051,0.0021
34400,2.6051,0.0021
34500,2.6051,0.0021
34600,2.6051,0.0021
34700,2.6051,0.0021
34800,2.6051,0.0021
34900,2.6051,0.0021
35000,2.6100,0.0021
35100,2.6100,0.0021
35200,2.6100,0.0021
35300,2.6100,0.0021
35400,2.6051,0.0021
35500,2.6002,0.0021
35600,2.5953,0.0020
35700,2.6051,0.0021
35800,2.6100,0.0021
35900,2.6100,0.0021
36000,2.6051,0.0021
36100,2.6100,0.0021
36200,2.6149,0.0023
36300,2.6149,0.0021
36400,2.6149,0.0023
36500,2.6149,0.0023
36600,2.6197,0.0023
36700,2.6100,0.0021
36800,2.6149,0.0023
36900,2.6149,0.0023
37000,2.6197,0.0023
37100,2.6246,0.0023
37200,2.6246,0.0023
37300,2.6295,0.0024
37400,2.6246,0.0024
37500,2.6295,0.0024
37600,2.6295,0.0024
37700,2.6295,0.0024
37800,2.6295,0.0024
37900,2.6442,0.0024
38000,2.6491,0.0025
38100,2.6491,0.0025
38200,2.6491,0.0025
38300,2.6540,0.0025
38400,2.6491,0.0025
38500,2.6491,0.0025
38600,2.6540,0.0025
38700,2.6540,0.0025
